Homology group node id,class,Genome 1,Genome 2,Genome 3,Genome 4
651206,core & single copy orthologous,1,1,1,1
651207,core & single copy orthologous,1,1,1,1
651208,core & single copy orthologous,1,1,1,1
651209,core & single copy orthologous,1,1,1,1
651210,core,1,1,2,1
651211,core & single copy orthologous,1,1,1,1
651212,core & single copy orthologous,1,1,1,1
651213,core & single copy orthologous,1,1,1,1
651214,core & single copy orthologous,1,1,1,1
651215,core & single copy orthologous,1,1,1,1
651216,core & single copy orthologous,1,1,1,1
651217,core & single copy orthologous,1,1,1,1
651219,core & single copy orthologous,1,1,1,1
651220,core & single copy orthologous,1,1,1,1
651221,core & single copy orthologous,1,1,1,1
651222,core & single copy orthologous,1,1,1,1
651223,core,1,1,1,2
651224,core & single copy orthologous,1,1,1,1
651225,core & single copy orthologous,1,1,1,1
651226,core & single copy orthologous,1,1,1,1
651227,core & single copy orthologous,1,1,1,1
651228,core & single copy orthologous,1,1,1,1
651229,core & single copy orthologous,1,1,1,1
651230,core & single copy orthologous,1,1,1,1
651231,core & single copy orthologous,1,1,1,1
651233,core & single copy orthologous,1,1,1,1
651235,core & single copy orthologous,1,1,1,1
651236,core & single copy orthologous,1,1,1,1
651237,core & single copy orthologous,1,1,1,1
651238,core,3,2,3,3
651239,core & single copy orthologous,1,1,1,1
651240,core & single copy orthologous,1,1,1,1
651241,core & single copy orthologous,1,1,1,1
651242,core & single copy orthologous,1,1,1,1
651243,core & single copy orthologous,1,1,1,1
651244,core & single copy orthologous,1,1,1,1
651246,core & single copy orthologous,1,1,1,1
651248,core & single copy orthologous,1,1,1,1
651249,core & single copy orthologous,1,1,1,1
651251,core & single copy orthologous,1,1,1,1
651252,core & single copy orthologous,1,1,1,1
651255,core & single copy orthologous,1,1,1,1
651256,core & single copy orthologous,1,1,1,1
651257,core & single copy orthologous,1,1,1,1
651258,core & single copy orthologous,1,1,1,1
651266,core & single copy orthologous,1,1,1,1
651267,core & single copy orthologous,1,1,1,1
651268,core & single copy orthologous,1,1,1,1
651269,core & single copy orthologous,1,1,1,1
651276,core & single copy orthologous,1,1,1,1
651277,core & single copy orthologous,1,1,1,1
651278,core & single copy orthologous,1,1,1,1
651279,core & single copy orthologous,1,1,1,1
651280,core & single copy orthologous,1,1,1,1
651281,core & single copy orthologous,1,1,1,1
651282,core & single copy orthologous,1,1,1,1
651283,core & single copy orthologous,1,1,1,1
651285,core & single copy orthologous,1,1,1,1
651286,core,1,1,1,2
651287,core & single copy orthologous,1,1,1,1
651288,core & single copy orthologous,1,1,1,1
651289,core & single copy orthologous,1,1,1,1
651290,core & single copy orthologous,1,1,1,1
651291,core & single copy orthologous,1,1,1,1
651292,core & single copy orthologous,1,1,1,1
651293,core & single copy orthologous,1,1,1,1
651294,core & single copy orthologous,1,1,1,1
651295,core & single copy orthologous,1,1,1,1
651296,core & single copy orthologous,1,1,1,1
651297,core & single copy orthologous,1,1,1,1
651298,core & single copy orthologous,1,1,1,1
651299,core & single copy orthologous,1,1,1,1
651300,core & single copy orthologous,1,1,1,1
651301,core & single copy orthologous,1,1,1,1
651302,core & single copy orthologous,1,1,1,1
651303,core & single copy orthologous,1,1,1,1
651307,core & single copy orthologous,1,1,1,1
651308,core & single copy orthologous,1,1,1,1
651313,core & single copy orthologous,1,1,1,1
651329,core,3,2,3,4
651338,core,1,2,3,2
651342,core,2,1,2,2
651347,core,2,1,2,1
651355,core,1,1,2,1
651356,core,1,2,1,1
651359,core & single copy orthologous,1,1,1,1
651360,core & single copy orthologous,1,1,1,1
651361,core & single copy orthologous,1,1,1,1
651362,core & single copy orthologous,1,1,1,1
651363,core & single copy orthologous,1,1,1,1
651364,core & single copy orthologous,1,1,1,1
651365,core & single copy orthologous,1,1,1,1
651366,core & single copy orthologous,1,1,1,1
651367,core & single copy orthologous,1,1,1,1
651368,core & single copy orthologous,1,1,1,1
651369,core & single copy orthologous,1,1,1,1
651370,core & single copy orthologous,1,1,1,1
651371,core & single copy orthologous,1,1,1,1
651372,core & single copy orthologous,1,1,1,1
651373,core & single copy orthologous,1,1,1,1
651374,core & single copy orthologous,1,1,1,1
651375,core & single copy orthologous,1,1,1,1
651376,core & single copy orthologous,1,1,1,1
651377,core & single copy orthologous,1,1,1,1
651378,core & single copy orthologous,1,1,1,1
651379,core & single copy orthologous,1,1,1,1
651383,core & single copy orthologous,1,1,1,1
651384,core & single copy orthologous,1,1,1,1
651385,core & single copy orthologous,1,1,1,1
651387,core & single copy orthologous,1,1,1,1
651462,core & single copy orthologous,1,1,1,1
651463,core & single copy orthologous,1,1,1,1
651464,core & single copy orthologous,1,1,1,1
651467,core & single copy orthologous,1,1,1,1
651468,core,1,2,2,1
651472,core & single copy orthologous,1,1,1,1
651474,core,1,1,2,1
651475,core,1,2,2,1
651476,core,1,2,1,1
651480,core & single copy orthologous,1,1,1,1
651482,core & single copy orthologous,1,1,1,1
651483,core & single copy orthologous,1,1,1,1
651484,core & single copy orthologous,1,1,1,1
651485,core & single copy orthologous,1,1,1,1
651486,core & single copy orthologous,1,1,1,1
651487,core & single copy orthologous,1,1,1,1
651488,core & single copy orthologous,1,1,1,1
651489,core & single copy orthologous,1,1,1,1
651492,core & single copy orthologous,1,1,1,1
651493,core & single copy orthologous,1,1,1,1
651497,core & single copy orthologous,1,1,1,1
651498,core & single copy orthologous,1,1,1,1
651499,core & single copy orthologous,1,1,1,1
651503,core & single copy orthologous,1,1,1,1
651504,core & single copy orthologous,1,1,1,1
651506,core & single copy orthologous,1,1,1,1
651507,core & single copy orthologous,1,1,1,1
651508,core & single copy orthologous,1,1,1,1
651510,core & single copy orthologous,1,1,1,1
651511,core & single copy orthologous,1,1,1,1
651513,core & single copy orthologous,1,1,1,1
651514,core & single copy orthologous,1,1,1,1
651515,core & single copy orthologous,1,1,1,1
651516,core & single copy orthologous,1,1,1,1
651518,core & single copy orthologous,1,1,1,1
651519,core & single copy orthologous,1,1,1,1
651520,core & single copy orthologous,1,1,1,1
651521,core & single copy orthologous,1,1,1,1
651522,core & single copy orthologous,1,1,1,1
651523,core & single copy orthologous,1,1,1,1
651524,core & single copy orthologous,1,1,1,1
651525,core & single copy orthologous,1,1,1,1
651526,core & single copy orthologous,1,1,1,1
651527,core & single copy orthologous,1,1,1,1
651528,core & single copy orthologous,1,1,1,1
651529,core & single copy orthologous,1,1,1,1
651530,core & single copy orthologous,1,1,1,1
651531,core & single copy orthologous,1,1,1,1
651532,core & single copy orthologous,1,1,1,1
651533,core & single copy orthologous,1,1,1,1
651534,core & single copy orthologous,1,1,1,1
651537,core & single copy orthologous,1,1,1,1
651539,core & single copy orthologous,1,1,1,1
651540,core & single copy orthologous,1,1,1,1
