homology_group,1,2,3,4
35349037,0,1,0,1
35349038,0,0,1,0
35349039,0,1,0,0
35349040,1,0,0,0
35349041,1,0,0,0
35349042,1,1,1,1
35349043,1,1,1,1
35349044,1,1,1,1
35349045,1,1,1,1
35349046,1,1,1,1
35349047,1,1,1,1
35349048,1,1,1,1
35349049,1,1,1,1
35349050,1,1,1,1
35349051,1,1,0,0
35349052,0,1,0,1
35349053,0,0,1,0
35349054,1,1,1,1
35349055,1,1,1,1
35349056,1,1,1,1
35349057,1,1,1,1
35349058,1,0,0,0
35349059,1,1,1,1
35349060,1,1,1,1
35349061,1,1,1,1
35349062,1,0,1,0
35349063,1,0,0,0
35349064,1,0,0,0
35349065,1,0,1,0
35349066,1,0,0,0
35349067,1,1,1,1
35349068,1,1,0,1
35349069,1,1,1,0
35349070,1,0,1,0
35349071,1,0,0,1
35349072,0,0,1,0
35349073,1,1,0,0
35349074,1,1,0,1
35349075,1,0,1,0
35349076,0,1,0,1
35349077,1,0,0,0
35349078,1,0,1,0
35349079,1,0,0,0
35349080,1,0,0,0
35349081,1,1,1,1
35349082,1,0,0,0
35349083,1,0,0,0
35349084,0,1,0,1
35349085,1,0,1,0
35349086,0,0,1,1
35349087,1,0,0,1
35349088,1,0,0,0
35349089,0,1,0,0
35349090,0,0,1,0
35349091,1,0,0,0
35349092,1,0,1,0
35349093,1,0,1,0
35349094,1,1,1,1
35349095,1,1,0,0
35349096,1,1,1,1
35349097,1,1,1,1
35349098,1,1,1,1
35349099,1,1,1,1
35349100,1,1,1,1
35349101,1,1,1,1
35349102,1,0,1,0
35349103,0,0,0,1
35349104,0,1,0,0
35349105,1,0,1,1
35349106,1,1,1,1
35349107,1,1,1,1
