x,y,Category
10,91734,Dispensable
5,58928,Dispensable
6,92838,Total
10,114932,Total
9,109467,Total
8,105375,Total
7,100668,Total
3,42102,Dispensable
3,42792,Dispensable
4,51586,Dispensable
8,22935,Core
3,72330,Total
6,67209,Dispensable
4,54388,Dispensable
5,62689,Dispensable
7,100071,Total
5,59294,Dispensable
7,24705,Core
6,92559,Total
7,99191,Total
4,53873,Dispensable
6,24388,Core
6,94310,Total
6,69386,Dispensable
9,108380,Total
5,26168,Core
9,23202,Core
7,24637,Core
7,75279,Dispensable
8,81829,Dispensable
5,61557,Dispensable
6,94789,Total
8,104003,Total
6,69265,Dispensable
5,27022,Core
6,24891,Core
5,86165,Total
5,26969,Core
4,25959,Core
4,51851,Dispensable
7,99750,Total
4,77205,Total
7,73367,Dispensable
3,69182,Total
6,94349,Total
6,94750,Total
5,60121,Dispensable
2,62108,Total
7,23540,Core
6,25252,Core
5,61667,Dispensable
6,25310,Core
4,52851,Dispensable
10,114212,Total
5,88673,Total
8,104165,Total
6,92279,Total
7,99471,Total
5,88395,Total
6,92118,Total
6,69375,Dispensable
9,108697,Total
8,105809,Total
7,97558,Total
7,76169,Dispensable
6,94627,Total
7,99031,Total
8,79588,Dispensable
8,24475,Core
9,108814,Total
11,118305,Total
4,80954,Total
6,65198,Dispensable
4,52487,Dispensable
5,26949,Core
7,97997,Total
10,114374,Total
6,92558,Total
7,99470,Total
5,60910,Dispensable
8,23734,Core
5,27042,Core
6,67888,Dispensable
7,74632,Dispensable
6,67474,Dispensable
11,22211,Core
6,91750,Total
5,59928,Dispensable
5,88234,Total
8,79952,Dispensable
8,104884,Total
9,22773,Core
6,94906,Total
6,94031,Total
5,62932,Dispensable
6,26071,Core
7,75158,Dispensable
8,104913,Total
3,30102,Core
5,25366,Core
6,24151,Core
6,92522,Total
6,70086,Dispensable
6,68314,Dispensable
6,26173,Core
6,93892,Total
9,85398,Dispensable
10,111911,Total
11,95469,Dispensable
8,105058,Total
3,67949,Total
6,25815,Core
5,60259,Dispensable
6,24765,Core
8,79389,Dispensable
8,24339,Core
8,105637,Total
7,25572,Core
2,61549,Total
9,85161,Dispensable
8,82002,Dispensable
5,61926,Dispensable
6,23997,Core
2,61249,Total
5,86271,Total
7,76004,Dispensable
3,44417,Dispensable
6,25890,Core
9,86945,Dispensable
11,21904,Core
6,94244,Total
7,24043,Core
6,25978,Core
7,96363,Total
